Travel Mode,Purpose,Public Mode,Vehicle,Month,Unit,Quantity,Day,Month,Year
Rail,Bangkok ,Public,Airport Rail Link,15-Jan-20,Person,"80,476",15,Jan,2020
Rail,Bangkok ,Public,BTS Skytrain,15-Jan-20,Person,"873,600",15,Jan,2020
Road ,Provincial ,Public,รถ ขบส. และ รถร่วม,16-Jan-20,Person,"143,219",16,Jan,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (10 จุดสำรวจ),16-Jan-20,Unit,"893,902",16,Jan,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (10 จุดสำรวจ),16-Jan-20,Unit,"1,078,847",16,Jan,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (ทางด่วน),16-Jan-20,Unit,"1,618,097",16,Jan,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (ทางด่วน),16-Jan-20,Unit,"1,679,376",16,Jan,2020
Road ,Bangkok ,Public,รถเมล์ ขสมก.,16-Jan-20,Person,"995,242",16,Jan,2020
Road ,Bangkok ,Public,รถร่วม (หมวด 1),16-Jan-20,Person,"538,440",16,Jan,2020
Waterway,Bangkok ,Public,เรือด่วนเจ้าพระยา,16-Jan-20,Person,"31,211",16,Jan,2020
Waterway,Bangkok ,Public,เรือคลองแสนแสบ,16-Jan-20,Person,"32,046",16,Jan,2020
Waterway,Bangkok ,Public,เรือภูมิภาค,16-Jan-20,Person,"189,216",16,Jan,2020
Rail,Provincial ,Public,Train,16-Jan-20,Person,"80,165",16,Jan,2020
Rail,Bangkok ,Public,Blue Line MRT,16-Jan-20,Person,"423,401",16,Jan,2020
Rail,Bangkok ,Public,Purple Line MRT,16-Jan-20,Person,"49,981",16,Jan,2020
Rail,Bangkok ,Public,Airport Rail Link,16-Jan-20,Person,"81,430",16,Jan,2020
Rail,Bangkok ,Public,BTS Skytrain,16-Jan-20,Person,"872,500",16,Jan,2020
Road ,Provincial ,Public,รถ ขบส. และ รถร่วม,17-Jan-20,Person,"155,363",17,Jan,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (10 จุดสำรวจ),17-Jan-20,Unit,"970,326",17,Jan,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (10 จุดสำรวจ),17-Jan-20,Unit,"1,148,684",17,Jan,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (ทางด่วน),17-Jan-20,Unit,"1,656,064",17,Jan,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (ทางด่วน),17-Jan-20,Unit,"1,717,193",17,Jan,2020
Road ,Bangkok ,Public,รถเมล์ ขสมก.,17-Jan-20,Person,"1,023,221",17,Jan,2020
Road ,Bangkok ,Public,รถร่วม (หมวด 1),17-Jan-20,Person,"553,456",17,Jan,2020
